affile,score,hom,prob
AF-G4V665-F1-model_v4,1.75,237,0.026
AF-A0A5K4F0T8-F1-model_v4,2.82,237,0.071
AF-A0A5K4ES43-F1-model_v4,3.61,238,0.108
AF-A0A5K4F8X5-F1-model_v4,2.07,238,0.038
AF-G4VGG1-F1-model_v4,1.42,238,0.015
AF-G4LW06-F1-model_v4,15.15,238,0.664
AF-G4VSD3-F1-model_v4,1.62,238,0.022
AF-A0A3Q0KBK7-F1-model_v4,2.48,238,0.056
AF-A0A3Q0KNV4-F1-model_v4,1.78,238,0.027
AF-G4LW52-F1-model_v4,15.99,238,0.688
AF-A0A3Q0KS92-F1-model_v4,21.36,238,0.809
AF-A0A3Q0KHN6-F1-model_v4,1.84,238,0.03
AF-A0A5K4EVI3-F1-model_v4,3.71,238,0.114
AF-A0A3Q0KNK9-F1-model_v4,8.78,238,0.402
AF-A0A5K4FF55-F1-model_v4,1.47,238,0.017
AF-G4VBS2-F1-model_v4,18.04,238,0.742
AF-A0A5K4F5L2-F1-model_v4,9.34,238,0.429
AF-A0A5K4ERR3-F1-model_v4,11.39,238,0.525
AF-A0A5K4F4W9-F1-model_v4,6.99,238,0.302
AF-A0A5K4FCY8-F1-model_v4,20.82,239,0.799
AF-A0A5K4EV26-F1-model_v4,8.93,239,0.41
AF-A0A5K4F164-F1-model_v4,10.5,239,0.485
AF-A0A3Q0KSG4-F1-model_v4,9.66,239,0.447
AF-A0A3Q0KSP0-F1-model_v4,8.5,239,0.386
AF-A0A5K4E976-F1-model_v4,4.27,239,0.145
AF-A0A5K4FEC1-F1-model_v4,26.24,239,0.872
AF-A0A5K4EQN3-F1-model_v4,31.93,239,0.913
AF-A0A3Q0KPG6-F1-model_v4,2.02,239,0.036
AF-A0A5K4F143-F1-model_v4,5.33,240,0.207
AF-A0A5K4F7J8-F1-model_v4,16.99,240,0.715
AF-A0A5K4F840-F1-model_v4,2.33,240,0.049
AF-A0A5K4EBA1-F1-model_v4,9.74,240,0.451
AF-A0A5K4F0H2-F1-model_v4,5.61,240,0.223
AF-G4V7Z2-F1-model_v4,5.51,240,0.217
AF-A0A5K4F5X3-F1-model_v4,18.87,240,0.762
AF-A0A3Q0KBG0-F1-model_v4,12.36,240,0.563
AF-G4VJU9-F1-model_v4,5.95,240,0.242
AF-A0A3Q0KD13-F1-model_v4,1.57,240,0.02
AF-G4VA23-F1-model_v4,6.09,240,0.25
AF-A0A3Q0KKV9-F1-model_v4,5.64,240,0.225
AF-A0A5K4F360-F1-model_v4,3.04,241,0.08
AF-A0A5K4F043-F1-model_v4,1.41,241,0.015
AF-A0A3Q0KS96-F1-model_v4,2.92,241,0.075
AF-A0A3Q0KQ40-F1-model_v4,10.66,241,0.492
AF-A0A5K4F8U5-F1-model_v4,36.34,241,0.936
AF-A0A5K4FFZ2-F1-model_v4,18.34,241,0.749
AF-P32070-F1-model_v4,3.0,241,0.079
AF-A0A5K4EGP4-F1-model_v4,4.23,241,0.143
AF-G4M0Q4-F1-model_v4,5.64,241,0.225
AF-G4V9F8-F1-model_v4,1.4,241,0.015
AF-A0A3Q0KIM7-F1-model_v4,5.15,241,0.195
AF-A0A5K4F2N8-F1-model_v4,1.84,241,0.029
AF-A0A3Q0KTH3-F1-model_v4,8.21,241,0.371
AF-A0A3Q0KQW6-F1-model_v4,2.04,241,0.037
AF-A0A3Q0KGW8-F1-model_v4,9.2,242,0.422
AF-A0A5K4FBS0-F1-model_v4,22.34,242,0.825
AF-A0A3Q0KTJ4-F1-model_v4,1.44,242,0.016
AF-A0A3Q0KG29-F1-model_v4,1.78,242,0.027
AF-A0A3Q0KU10-F1-model_v4,1.69,243,0.024
AF-A0A3Q0KBU4-F1-model_v4,4.29,243,0.146
AF-A0A3Q0KUA9-F1-model_v4,38.57,243,0.943
AF-A0A5K4F0Y5-F1-model_v4,20.72,243,0.798
AF-A0A5K4F1L7-F1-model_v4,17.51,243,0.729
AF-A0A5K4FEL0-F1-model_v4,13.83,243,0.617
AF-A0A5K4F0S1-F1-model_v4,3.82,243,0.12
AF-A0A5K4F5G8-F1-model_v4,5.88,243,0.238
AF-A0A5K4EZN9-F1-model_v4,5.87,243,0.238
AF-A0A5K4FGG4-F1-model_v4,1.85,243,0.03
AF-A0A3Q0KJJ0-F1-model_v4,7.16,243,0.312
AF-A0A5K4F9E1-F1-model_v4,3.26,243,0.09
AF-A0A5K4FDC4-F1-model_v4,25.48,243,0.865
AF-A0A5K4F0Z5-F1-model_v4,6.18,244,0.256
AF-A0A5K4ERY2-F1-model_v4,2.5,244,0.057
AF-A0A3Q0KPN9-F1-model_v4,17.29,244,0.722
AF-A0A5K4FCY4-F1-model_v4,2.45,244,0.054
AF-A0A5K4F6X0-F1-model_v4,14.87,244,0.655
AF-A0A5K4FBN6-F1-model_v4,4.64,245,0.166
AF-A0A5K4F439-F1-model_v4,19.51,245,0.777
AF-A0A5K4EVE0-F1-model_v4,6.31,245,0.264
AF-A0A5K4F115-F1-model_v4,16.71,245,0.708
AF-G4VQL4-F1-model_v4,5.92,245,0.24
AF-A0A5K4ENI7-F1-model_v4,12.15,245,0.554
AF-A0A5K4F2Y6-F1-model_v4,14.16,245,0.629
AF-A0A5K4FC07-F1-model_v4,10.52,245,0.486
AF-A0A5K4E8T0-F1-model_v4,1.71,245,0.025
AF-A0A5K4F6W4-F1-model_v4,1.35,245,0.013
AF-A0A3Q0KJI0-F1-model_v4,2.71,245,0.066
AF-A0A3Q0KD67-F1-model_v4,1.16,245,0.008
AF-A0A5K4F2M2-F1-model_v4,6.24,245,0.259
AF-A0A5K4F4L6-F1-model_v4,4.75,245,0.172
AF-A0A5K4FBZ7-F1-model_v4,3.54,245,0.104
AF-A0A5K4F7A5-F1-model_v4,1.45,245,0.016
AF-A0A5K4F475-F1-model_v4,26.52,246,0.874
AF-A0A5K4F231-F1-model_v4,3.73,246,0.115
AF-A0A5K4F1Q2-F1-model_v4,6.42,246,0.271
AF-G4LYR1-F1-model_v4,2.77,246,0.068
AF-A0A5K4F8Z1-F1-model_v4,5.97,246,0.243
AF-A0A3Q0KRF8-F1-model_v4,5.36,246,0.208
AF-A0A3Q0KMV1-F1-model_v4,11.41,246,0.527
AF-A0A5K4EPE2-F1-model_v4,8.8,246,0.403
AF-A0A5K4F1F7-F1-model_v4,12.87,246,0.584
AF-G4V8X9-F1-model_v4,7.01,246,0.304
AF-A0A3Q0KT07-F1-model_v4,4.17,246,0.139
AF-A0A5K4F4X2-F1-model_v4,4.79,247,0.174
AF-A0A3Q0KIK6-F1-model_v4,5.26,247,0.202
AF-A0A3Q0KLN0-F1-model_v4,9.73,247,0.45
AF-A0A5K4FDW9-F1-model_v4,2.81,247,0.07
AF-A0A5K4F8Z5-F1-model_v4,4.28,247,0.145
AF-A0A5K4FDT6-F1-model_v4,1.7,247,0.024
AF-A0A5K4FCW5-F1-model_v4,33.4,247,0.921
AF-A0A3Q0KMT0-F1-model_v4,7.41,247,0.327
AF-A0A5K4FGC1-F1-model_v4,12.35,247,0.562
AF-A0A5K4F2R3-F1-model_v4,4.25,247,0.143
AF-A0A5K4F7W6-F1-model_v4,1.6,247,0.021
AF-A6XDL3-F1-model_v4,1.09,247,0.007
AF-A0A5K4EL87-F1-model_v4,8.61,247,0.392
AF-G4VM64-F1-model_v4,3.25,247,0.09
AF-A0A5K4F1W2-F1-model_v4,21.73,248,0.817
AF-A0A5K4F117-F1-model_v4,2.2,248,0.044
AF-A0A5K4EQL6-F1-model_v4,1.6,248,0.021
AF-A0A5K4FF74-F1-model_v4,2.66,248,0.064
AF-A0A3Q0KSP4-F1-model_v4,5.33,248,0.206
AF-A0A5K4F7L8-F1-model_v4,14.98,248,0.659
AF-A0A5K4F7Q4-F1-model_v4,3.97,248,0.128
AF-G4V5M8-F1-model_v4,3.36,248,0.095
AF-A0A5K4F4D8-F1-model_v4,28.3,249,0.888
AF-A0A3Q0KQI4-F1-model_v4,10.43,249,0.482
AF-A0A5K4F5D0-F1-model_v4,21.55,249,0.812
AF-A0A5K4EEM1-F1-model_v4,9.01,249,0.414
AF-A0A3Q0KSM4-F1-model_v4,5.25,249,0.201
AF-A0A5K4F811-F1-model_v4,3.74,249,0.115
AF-A0A5K4F1N6-F1-model_v4,3.99,249,0.129
AF-A0A5K4EZL4-F1-model_v4,2.76,249,0.068
AF-A0A5K4EZP3-F1-model_v4,1.03,249,0.006
AF-A0A3Q0KGB4-F1-model_v4,7.78,250,0.347
AF-A0A3Q0KP20-F1-model_v4,2.8,250,0.07
AF-A0A5K4F588-F1-model_v4,13.12,250,0.592
AF-A0A0R5RJC3-F1-model_v4,3.09,250,0.083
AF-A0A3Q0KJ09-F1-model_v4,20.59,250,0.795
AF-A0A3Q0KI43-F1-model_v4,9.37,250,0.431
AF-A0A5K4F1U7-F1-model_v4,6.88,250,0.297
AF-G4M0F8-F1-model_v4,8.78,250,0.402
AF-A0A5K4FBC7-F1-model_v4,61.86,250,0.984
AF-A0A5K4EZV5-F1-model_v4,8.94,250,0.41
AF-A0A3Q0KTX9-F1-model_v4,36.89,251,0.938
AF-A0A5K4F348-F1-model_v4,1.05,251,0.006
AF-A0A5K4F299-F1-model_v4,3.45,251,0.1
AF-A0A5K4EKW2-F1-model_v4,9.96,251,0.461
AF-A0A3Q0KF86-F1-model_v4,2.4,251,0.052
AF-A0A5K4F897-F1-model_v4,6.77,251,0.29
AF-G4VNM5-F1-model_v4,1.32,252,0.012
AF-A0A5K4EBZ1-F1-model_v4,10.86,252,0.5
AF-A0A3Q0KQ17-F1-model_v4,6.88,252,0.296
AF-G4V6D5-F1-model_v4,1.97,252,0.035
AF-A0A5K4FB94-F1-model_v4,2.86,252,0.073
AF-A0A5K4F774-F1-model_v4,3.17,252,0.086
AF-A0A5K4FB48-F1-model_v4,3.39,252,0.097
AF-A0A5K4FGH3-F1-model_v4,5.8,252,0.234
AF-G4VJT8-F1-model_v4,1.17,252,0.009
AF-A0A5K4EC33-F1-model_v4,1.31,252,0.012
AF-A0A5K4FB74-F1-model_v4,5.58,253,0.222
AF-A0A3Q0KQH8-F1-model_v4,65.56,253,0.986
AF-A0A5K4EM44-F1-model_v4,2.2,253,0.044
AF-A0A5K4F696-F1-model_v4,9.98,253,0.462
AF-A0A5K4EFF7-F1-model_v4,9.42,253,0.434
AF-A0A5K4FAY1-F1-model_v4,22.21,253,0.823
AF-A0A5K4EI68-F1-model_v4,4.92,254,0.182
AF-A0A5K4F387-F1-model_v4,3.96,254,0.128
AF-A0A5K4F310-F1-model_v4,20.89,254,0.8
AF-A0A5K4FC29-F1-model_v4,16.69,254,0.708
AF-A0A3Q0KJL8-F1-model_v4,2.85,254,0.072
AF-A0A3Q0KSZ3-F1-model_v4,3.22,254,0.088
AF-A0A3Q0KN21-F1-model_v4,9.1,255,0.418
AF-A0A5K4F8P6-F1-model_v4,1.2,255,0.009
AF-A0A5K4EI66-F1-model_v4,2.58,255,0.06
AF-A0A3Q0KQ13-F1-model_v4,5.43,255,0.213
AF-A0A5K4F398-F1-model_v4,1.27,255,0.011
AF-G4VIN2-F1-model_v4,2.37,255,0.051
AF-G4VH39-F1-model_v4,7.04,255,0.305
AF-A0A5K4F3M7-F1-model_v4,6.57,255,0.28
AF-A0A3Q0KQH2-F1-model_v4,1.57,255,0.02
AF-A0A5K4F8A0-F1-model_v4,1.93,255,0.033
AF-A0A5K4F468-F1-model_v4,5.86,256,0.237
AF-A0A3Q0KTI4-F1-model_v4,53.01,256,0.97
AF-A0A3Q0KUJ9-F1-model_v4,3.06,256,0.081
AF-A0A5K4EUY4-F1-model_v4,19.07,256,0.767
AF-G4VGD0-F1-model_v4,9.52,256,0.439
AF-G4VJA2-F1-model_v4,5.99,256,0.244
AF-A0A3Q0KR74-F1-model_v4,3.34,257,0.094
AF-A0A5K4EX47-F1-model_v4,5.41,257,0.211
AF-G4V6H0-F1-model_v4,4.95,257,0.184
AF-A0A5K4F2Z1-F1-model_v4,1.75,257,0.026
AF-A0A3Q0KHU4-F1-model_v4,6.78,257,0.291
AF-A0A5K4F9F7-F1-model_v4,4.24,257,0.143
AF-A0A5K4F8B4-F1-model_v4,2.25,257,0.046
AF-A0A5K4F2Q3-F1-model_v4,4.24,257,0.143
AF-P12812-F1-model_v4,3.0,257,0.079
AF-A0A5K4F619-F1-model_v4,1.91,258,0.032
AF-A0A5K4FAG6-F1-model_v4,12.01,258,0.549
AF-A0A5K4FCT3-F1-model_v4,6.25,258,0.26
AF-A0A5K4F2L2-F1-model_v4,3.69,258,0.113
AF-G4VH19-F1-model_v4,24.0,258,0.849
AF-A0A3Q0KR33-F1-model_v4,13.18,258,0.594
AF-G4V6L6-F1-model_v4,7.16,258,0.312
AF-A0A5K4FA35-F1-model_v4,3.65,258,0.11
AF-A0A5K4F8Z2-F1-model_v4,15.74,258,0.68
AF-A0A5K4EXW9-F1-model_v4,0.9,258,0.003
AF-A0A5K4EZG2-F1-model_v4,10.0,258,0.462
AF-G4VBI4-F1-model_v4,5.16,259,0.196
AF-A0A5K4EEM8-F1-model_v4,20.69,259,0.797
AF-A0A5K4F207-F1-model_v4,6.46,259,0.274
AF-A0A5K4F109-F1-model_v4,6.02,259,0.246
AF-A0A5K4FEU2-F1-model_v4,29.41,259,0.896
AF-A0A3Q0KFR7-F1-model_v4,6.69,259,0.286
AF-G4VJF6-F1-model_v4,19.61,259,0.778
AF-G4V8Y7-F1-model_v4,4.95,259,0.184
AF-A0A3Q0KS02-F1-model_v4,11.65,259,0.536
AF-A0A3Q0KF47-F1-model_v4,3.59,259,0.107
AF-A0A3Q0KUF4-F1-model_v4,5.49,259,0.216
AF-A0A3Q0KTH2-F1-model_v4,15.83,259,0.683
AF-A0A3Q0KMT4-F1-model_v4,3.21,259,0.088
AF-A0A3Q0KLS9-F1-model_v4,1.86,260,0.03
AF-A0A5K4FDB4-F1-model_v4,5.09,260,0.192
AF-A0A5K4F202-F1-model_v4,16.76,260,0.709
AF-A0A5K4FA48-F1-model_v4,15.85,260,0.684
AF-A0A5K4F225-F1-model_v4,8.91,260,0.409
AF-G4VFE1-F1-model_v4,3.79,260,0.119
AF-G4VKT0-F1-model_v4,2.17,260,0.042
AF-A0A5K4ENN9-F1-model_v4,1.62,261,0.021
AF-A0A5K4F7S5-F1-model_v4,1.07,261,0.006
AF-A0A3Q0KPY9-F1-model_v4,6.97,261,0.302
AF-A0A5K4F1S6-F1-model_v4,15.81,261,0.682
AF-A0A5K4F113-F1-model_v4,2.86,261,0.072
AF-A0A3Q0KDP6-F1-model_v4,2.55,261,0.059
AF-A0A3Q0KQ10-F1-model_v4,10.71,261,0.494
AF-G4VIX3-F1-model_v4,3.26,261,0.09
AF-A0A3Q0KFC0-F1-model_v4,9.28,261,0.426
AF-A0A5K4F3V2-F1-model_v4,1.8,261,0.028
AF-A0A5K4F3W5-F1-model_v4,5.44,262,0.213
AF-A0A3Q0KQC1-F1-model_v4,7.66,262,0.34
AF-A0A3Q0KI50-F1-model_v4,3.41,262,0.097
AF-A0A3Q0KIX8-F1-model_v4,1.19,262,0.009
AF-A0A3Q0KDE4-F1-model_v4,5.45,262,0.214
AF-A0A5K4F0F6-F1-model_v4,9.53,262,0.44
AF-A0A5K4F5R5-F1-model_v4,6.69,262,0.286
AF-A0A3Q0KVB8-F1-model_v4,6.82,263,0.293
AF-A0A5K4EZG3-F1-model_v4,6.64,263,0.284
AF-A0A5K4EVT3-F1-model_v4,3.41,263,0.097
AF-G4VR59-F1-model_v4,7.73,263,0.344
AF-A0A5K4FFE6-F1-model_v4,3.46,263,0.1
AF-A0A5K4FAP2-F1-model_v4,3.67,263,0.111
AF-A0A3Q0KH43-F1-model_v4,5.46,263,0.215
AF-A0A5K4EZ59-F1-model_v4,13.38,264,0.601
AF-A0A3Q0KL68-F1-model_v4,7.65,264,0.34
AF-A0A3Q0KUF7-F1-model_v4,14.56,264,0.643
AF-A0A5K4E974-F1-model_v4,8.84,264,0.405
AF-G4VAT2-F1-model_v4,11.28,264,0.52
AF-A0A5K4EV09-F1-model_v4,8.73,264,0.399
AF-A0A3Q0KKP8-F1-model_v4,20.48,264,0.794
AF-A0A5K4F3C9-F1-model_v4,14.25,265,0.632
AF-A0A5K4EWA2-F1-model_v4,5.07,265,0.191
AF-G4LY05-F1-model_v4,2.1,265,0.04
AF-A0A5K4EJG6-F1-model_v4,1.05,265,0.006
AF-A0A5K4FBJ3-F1-model_v4,2.19,265,0.043
AF-A0A5K4F3V3-F1-model_v4,11.55,265,0.532
AF-A0A5K4FEZ1-F1-model_v4,24.4,265,0.853
AF-A0A5K4F2N7-F1-model_v4,1.18,265,0.009
AF-A0A5K4ENM4-F1-model_v4,15.65,265,0.678
AF-A0A5K4EHW4-F1-model_v4,15.73,265,0.68
AF-G4VRU2-F1-model_v4,1.54,265,0.019
AF-A0A5K4EN76-F1-model_v4,2.35,265,0.05
AF-A0A3Q0KPA0-F1-model_v4,4.52,265,0.16
AF-A0A3Q0KR47-F1-model_v4,4.18,266,0.14
AF-A0A5K4ENB7-F1-model_v4,23.09,266,0.836
AF-A0A3Q0KSE5-F1-model_v4,12.24,266,0.558
AF-G4V700-F1-model_v4,1.11,266,0.007
AF-G4VK94-F1-model_v4,3.57,266,0.106
AF-A0A5K4FCL4-F1-model_v4,8.31,266,0.377
AF-A0A5K4EHS5-F1-model_v4,1.96,266,0.034
AF-A0A5K4FBE0-F1-model_v4,2.1,266,0.039
AF-A0A5K4F8Z8-F1-model_v4,6.9,266,0.298
AF-A0A5K4EQG4-F1-model_v4,6.18,266,0.256
AF-A0A3Q0KLL9-F1-model_v4,25.78,266,0.868
AF-A0A5K4F6R1-F1-model_v4,7.11,267,0.309
AF-G4VA29-F1-model_v4,1.97,267,0.035
AF-A0A5K4F5L9-F1-model_v4,7.12,267,0.31
AF-A0A5K4F393-F1-model_v4,3.27,267,0.091
AF-A0A5K4F435-F1-model_v4,4.16,267,0.139
AF-A0A5K4F814-F1-model_v4,4.89,267,0.181
AF-A0A5K4EBH0-F1-model_v4,4.82,267,0.177
AF-A0A5K4EZX2-F1-model_v4,2.6,268,0.061
AF-A0A3Q0KJV4-F1-model_v4,1.63,268,0.022
AF-A0A5K4EYJ0-F1-model_v4,4.24,268,0.143
AF-A0A3Q0KMW1-F1-model_v4,2.51,268,0.057
AF-A0A5K4F6E4-F1-model_v4,2.83,268,0.071
AF-A0A5K4F056-F1-model_v4,7.24,268,0.316
AF-A0A3Q0KJQ5-F1-model_v4,10.52,269,0.486
AF-A0A5K4EJ31-F1-model_v4,0.94,269,0.004
AF-A0A3Q0KET7-F1-model_v4,1.9,269,0.032
AF-A0A3Q0KPQ3-F1-model_v4,5.52,269,0.218
AF-B8Y6H4-F1-model_v4,1.71,269,0.025
AF-G4VSN3-F1-model_v4,4.93,269,0.183
AF-A0A5K4FA97-F1-model_v4,5.25,270,0.202
AF-A0A5K4FEN3-F1-model_v4,7.85,270,0.351
AF-A0A5K4F6V0-F1-model_v4,1.94,270,0.034
AF-A0A5K4F6Y7-F1-model_v4,12.62,270,0.573
AF-A0A3Q0KLH8-F1-model_v4,3.76,270,0.116
AF-A0A5K4F8N1-F1-model_v4,1.91,270,0.032
AF-G4VSL0-F1-model_v4,17.69,270,0.734
AF-A0A3Q0KTV7-F1-model_v4,1.41,270,0.015
AF-A0A5K4FAV0-F1-model_v4,2.11,270,0.04
AF-A0A5K4EXK2-F1-model_v4,1.49,271,0.017
AF-A0A5K4ECR2-F1-model_v4,21.13,271,0.805
AF-A0A3Q0KF36-F1-model_v4,4.64,271,0.166
AF-A0A5K4F9L1-F1-model_v4,26.04,271,0.87
AF-G4VP78-F1-model_v4,17.0,271,0.715
AF-A0A5K4FBM1-F1-model_v4,2.9,271,0.074
AF-G4V896-F1-model_v4,0.99,271,0.005
AF-G4VQ69-F1-model_v4,2.79,271,0.069
AF-A0A5K4F3G3-F1-model_v4,1.93,271,0.033
AF-A0A5K4F9S9-F1-model_v4,3.4,271,0.097
AF-A0A5K4F4S0-F1-model_v4,38.09,271,0.941
AF-A0A3Q0KTE1-F1-model_v4,14.02,271,0.624
AF-A0A3Q0KL95-F1-model_v4,3.2,271,0.088
AF-A0A5K4F3F9-F1-model_v4,14.9,272,0.656
AF-A0A5K4FEN0-F1-model_v4,37.13,272,0.939
AF-A0A5K4FCJ4-F1-model_v4,1.87,272,0.031
AF-A0A3Q0KP07-F1-model_v4,5.93,272,0.241
AF-A0A5K4F0F1-F1-model_v4,3.51,272,0.103
AF-A0A5K4F0Z8-F1-model_v4,3.19,272,0.087
AF-A0A3Q0KMC6-F1-model_v4,5.06,272,0.19
AF-G4VLA7-F1-model_v4,1.68,272,0.024
AF-A0A5K4F9W9-F1-model_v4,5.22,273,0.2
AF-G4M158-F1-model_v4,3.03,273,0.08
AF-G4V5W4-F1-model_v4,3.87,273,0.122
AF-A0A5K4F8W4-F1-model_v4,2.31,273,0.048
AF-A0A5K4F3I8-F1-model_v4,38.99,273,0.943
AF-A0A3Q0KQQ5-F1-model_v4,3.96,273,0.127
AF-G4VJW0-F1-model_v4,6.02,273,0.246
AF-A0A3Q0KKX3-F1-model_v4,2.94,274,0.076
AF-A0A5K4F5U0-F1-model_v4,7.23,274,0.316
AF-A0A5K4FAI9-F1-model_v4,5.93,274,0.241
AF-A0A5K4FBM7-F1-model_v4,10.47,274,0.484
AF-A0A5K4FCF8-F1-model_v4,5.84,274,0.236
AF-I4EC25-F1-model_v4,1.96,274,0.034
AF-A0A5K4FCF0-F1-model_v4,6.57,274,0.28
AF-A0A5K4F0Y8-F1-model_v4,1.11,274,0.007
AF-A0A5K4EZH9-F1-model_v4,16.73,274,0.709
AF-A0A5K4F3K1-F1-model_v4,7.96,275,0.357
AF-A0A5K4EE10-F1-model_v4,2.51,275,0.057
AF-A0A5K4FA78-F1-model_v4,5.55,275,0.22
AF-A0A5K4ENT1-F1-model_v4,5.54,275,0.219
AF-G4VQB1-F1-model_v4,38.13,275,0.941
AF-A0A5K4F0A8-F1-model_v4,1.37,275,0.014
AF-A0A3Q0KJT1-F1-model_v4,6.76,275,0.29
AF-A0A3Q0KHH7-F1-model_v4,1.15,275,0.008
AF-A0A5K4F7R5-F1-model_v4,64.71,275,0.986
AF-C4QP07-F1-model_v4,3.85,275,0.122
AF-A0A3Q0KSU4-F1-model_v4,3.66,275,0.111
AF-C1M270-F1-model_v4,1.5,276,0.017
AF-A0A5K4FCH1-F1-model_v4,3.95,276,0.127
AF-A0A5K4ESG9-F1-model_v4,7.56,276,0.334
AF-A0A3Q0KU27-F1-model_v4,2.68,276,0.064
AF-A0A5K4FBY4-F1-model_v4,3.4,277,0.097
AF-A0A5K4FBS8-F1-model_v4,11.46,277,0.529
AF-A0A5K4EZQ5-F1-model_v4,1.86,277,0.03
AF-A0A3Q0KC46-F1-model_v4,16.43,277,0.7
AF-A0A3Q0KND2-F1-model_v4,7.79,277,0.347
AF-A0A3Q0KBQ3-F1-model_v4,3.98,278,0.129
AF-C1M053-F1-model_v4,1.72,278,0.025
AF-A0A5K4FFM3-F1-model_v4,21.64,278,0.815
AF-A0A5K4F2G5-F1-model_v4,11.03,278,0.509
AF-A0A5K4EB54-F1-model_v4,11.34,278,0.523
AF-A0A5K4EMS8-F1-model_v4,14.19,278,0.63
AF-A0A5K4F379-F1-model_v4,5.67,278,0.226
AF-A0A5K4EJ41-F1-model_v4,2.21,278,0.044
AF-A0A3Q0KMC2-F1-model_v4,14.1,278,0.627
AF-A0A5K4ERF5-F1-model_v4,1.73,278,0.025
AF-G4V7B6-F1-model_v4,1.15,279,0.008
AF-A0A3Q0KLQ8-F1-model_v4,4.51,279,0.159
AF-A0A3Q0KN14-F1-model_v4,30.95,279,0.906
AF-A0A5K4ELU5-F1-model_v4,6.94,279,0.3
AF-A0A3Q0KJT7-F1-model_v4,15.31,279,0.669
AF-A0A5K4EJR4-F1-model_v4,1.28,279,0.011
AF-A0A5K4F3S3-F1-model_v4,36.93,279,0.938
AF-G4VJP4-F1-model_v4,5.19,279,0.198
AF-A0A5K4ERX8-F1-model_v4,5.3,280,0.204
AF-G4VS06-F1-model_v4,1.35,280,0.013
AF-A0A3Q0KV73-F1-model_v4,10.45,280,0.483
AF-A0A3Q0KU85-F1-model_v4,1.48,280,0.017
AF-A0A3Q0KMV7-F1-model_v4,9.66,280,0.447
AF-A0A5K4E8P8-F1-model_v4,13.96,280,0.622
AF-G4VPP9-F1-model_v4,5.71,280,0.229
AF-A0A5K4F6B6-F1-model_v4,5.98,280,0.243
AF-A0A5K4F4A0-F1-model_v4,16.6,280,0.705
AF-A0A5K4EVT1-F1-model_v4,11.39,280,0.526
AF-A0A5K4FCK4-F1-model_v4,6.75,280,0.29
AF-A0A5K4FBX1-F1-model_v4,4.75,281,0.173
AF-A0A3Q0KD62-F1-model_v4,16.61,281,0.705
AF-A0A3Q0KBL9-F1-model_v4,7.0,281,0.303
AF-G4V6U3-F1-model_v4,1.55,281,0.019
AF-A0A3Q0KDA2-F1-model_v4,8.31,281,0.377
AF-A0A5K4FD78-F1-model_v4,7.57,281,0.335
AF-A0A3Q0KBZ6-F1-model_v4,11.7,281,0.537
AF-A0A3Q0KKK5-F1-model_v4,6.42,281,0.27
AF-A0A3Q0KSS5-F1-model_v4,11.51,281,0.531
AF-A0A5K4FC08-F1-model_v4,1.87,282,0.031
AF-A0A3Q0KLX7-F1-model_v4,18.45,282,0.752
AF-A0A5K4FCU3-F1-model_v4,6.7,282,0.287
AF-A0A3Q0KQC3-F1-model_v4,6.31,282,0.264
AF-A0A5K4F6E5-F1-model_v4,3.2,282,0.088
AF-A0A5K4ER37-F1-model_v4,3.83,283,0.121
AF-A0A3Q0KCV8-F1-model_v4,1.82,283,0.029
AF-G4VM34-F1-model_v4,1.26,283,0.011
AF-A0A5K4F253-F1-model_v4,10.45,283,0.483
AF-A0A3Q0KCM1-F1-model_v4,5.05,283,0.19
AF-A0A5K4F0X6-F1-model_v4,2.49,283,0.056
AF-A0A5K4F3W0-F1-model_v4,13.68,283,0.611
AF-G4VE77-F1-model_v4,1.86,284,0.03
AF-A0A5K4FBY0-F1-model_v4,2.82,284,0.07
AF-A0A5K4F2E8-F1-model_v4,17.97,284,0.741
AF-G4VPE3-F1-model_v4,9.41,284,0.433
AF-A0A3Q0KLU6-F1-model_v4,2.61,284,0.061
AF-A0A5K4F427-F1-model_v4,16.48,284,0.702
AF-G4V8W2-F1-model_v4,1.85,284,0.03
AF-Q07167-F1-model_v4,13.36,284,0.6
AF-G4VJP1-F1-model_v4,4.02,284,0.131
AF-A0A3Q0KLP7-F1-model_v4,17.05,284,0.716
AF-G4LZV3-F1-model_v4,4.59,285,0.164
AF-A0A5K4F0N8-F1-model_v4,1.73,285,0.025
AF-A0A5K4FFD1-F1-model_v4,2.26,285,0.046
AF-A0A3Q0KI45-F1-model_v4,10.33,285,0.478
AF-A0A3Q0KKW8-F1-model_v4,9.3,285,0.427
AF-G4VH75-F1-model_v4,3.33,286,0.093
AF-A0A3Q0KRK1-F1-model_v4,1.87,286,0.031
AF-A0A5K4FAZ1-F1-model_v4,23.9,286,0.847
AF-G4VIL2-F1-model_v4,3.55,287,0.105
AF-A0A3Q0KSN7-F1-model_v4,34.6,287,0.927
AF-G4LVS4-F1-model_v4,13.93,287,0.621
AF-A0A3Q0KMR4-F1-model_v4,11.53,287,0.531
AF-A0A5K4FD52-F1-model_v4,4.59,287,0.163
AF-A0A5K4F7D8-F1-model_v4,3.01,287,0.079
AF-A0A5K4EU04-F1-model_v4,8.5,287,0.387
AF-A0A3Q0KSM9-F1-model_v4,1.43,288,0.015
AF-A0A5K4F7P9-F1-model_v4,2.35,288,0.05
AF-A0A3Q0KMH5-F1-model_v4,6.12,288,0.252
