Filename,First Score,First Probability
AF-A0A3Q0KHM5-F1-model_v4,31.27,0.908
AF-A0A3Q0KMZ1-F1-model_v4,31.27,0.908
AF-A0A5K4F3L9-F1-model_v4,31.23,0.908
AF-B1AAM6-F1-model_v4,31.23,0.908
AF-A0A3Q0KN23-F1-model_v4,31.18,0.908
AF-A0A5K4FA93-F1-model_v4,31.18,0.908
AF-C4QJA6-F1-model_v4,31.17,0.908
AF-A0A5K4F3H8-F1-model_v4,31.13,0.907
AF-G4VGQ3-F1-model_v4,31.1,0.907
AF-G4VRF7-F1-model_v4,31.08,0.907
AF-A0A3Q0KNN0-F1-model_v4,31.07,0.907
AF-A0A5K4F5Z6-F1-model_v4,31.06,0.907
AF-G4VPU8-F1-model_v4,31.06,0.907
AF-A0A5K4FB28-F1-model_v4,31.05,0.907
AF-A0A3Q0KK90-F1-model_v4,31.04,0.907
AF-C4QMR1-F1-model_v4,31.04,0.907
AF-A0A5K4ERD0-F1-model_v4,31.0,0.907
AF-G4LYA6-F1-model_v4,31.0,0.907
AF-A0A3Q0KNJ9-F1-model_v4,30.98,0.906
AF-A0A3Q0KQ87-F1-model_v4,30.97,0.906
AF-A0A5K4EYG4-F1-model_v4,30.97,0.906
AF-A0A5K4EZF0-F1-model_v4,30.97,0.906
AF-A0A3Q0KN14-F1-model_v4,30.95,0.906
AF-A0A3Q0KVG9-F1-model_v4,30.95,0.906
AF-A0A5K4F7B6-F1-model_v4,30.95,0.906
AF-A0A5K4F900-F1-model_v4,30.95,0.906
AF-A0A5K4FB56-F1-model_v4,30.95,0.906
AF-A0A3Q0KD39-F1-model_v4,30.93,0.906
AF-G4LVC7-F1-model_v4,30.93,0.906
AF-G4VJ07-F1-model_v4,30.93,0.906
AF-A0A5K4F761-F1-model_v4,30.92,0.906
AF-A0A3Q0KPL4-F1-model_v4,30.91,0.906
AF-A0A3Q0KM63-F1-model_v4,30.87,0.906
AF-A0A3Q0KS86-F1-model_v4,30.85,0.906
AF-A0A3Q0KSY9-F1-model_v4,30.84,0.906
AF-A0A5K4FAI2-F1-model_v4,30.84,0.906
AF-A0A3Q0KCH5-F1-model_v4,30.83,0.906
AF-G4VMD4-F1-model_v4,30.81,0.906
AF-A0A3Q0KQA0-F1-model_v4,30.8,0.906
AF-A0A5K4FAM8-F1-model_v4,30.8,0.906
AF-A0A3Q0KLC9-F1-model_v4,30.77,0.906
AF-A0A3Q0KHX3-F1-model_v4,30.75,0.905
AF-A0A3Q0KL67-F1-model_v4,30.69,0.905
AF-A0A3Q0KP12-F1-model_v4,30.69,0.905
AF-A0A3Q0KDH6-F1-model_v4,30.68,0.905
AF-A0A5K4EKI6-F1-model_v4,30.68,0.905
AF-A0A5K4ETW2-F1-model_v4,30.68,0.905
AF-A0A5K4F139-F1-model_v4,30.68,0.905
AF-G4VCH8-F1-model_v4,30.67,0.905
AF-A0A5K4F8M1-F1-model_v4,30.63,0.905
AF-A0A5K4F8G4-F1-model_v4,30.62,0.905
AF-G4M056-F1-model_v4,30.62,0.905
AF-A0A5K4EZI4-F1-model_v4,30.61,0.905
AF-A0A3Q0KB97-F1-model_v4,30.59,0.905
AF-A0A3Q0KTZ8-F1-model_v4,30.57,0.904
AF-A0A5K4EFH7-F1-model_v4,30.56,0.904
AF-A0A5K4ELX9-F1-model_v4,30.56,0.904
AF-A0A5K4FF57-F1-model_v4,30.56,0.904
AF-A0A3Q0KV65-F1-model_v4,30.55,0.904
AF-A0A3Q0KVC6-F1-model_v4,30.55,0.904
AF-A0A3Q0KM82-F1-model_v4,30.54,0.904
AF-A0A5K4EM61-F1-model_v4,30.53,0.904
AF-A0A5K4F845-F1-model_v4,30.53,0.904
AF-A0A3Q0KIS4-F1-model_v4,30.51,0.904
AF-A0A3Q0KJU6-F1-model_v4,30.5,0.904
AF-A0A5K4EJS8-F1-model_v4,30.5,0.904
AF-A0A5K4EQA7-F1-model_v4,30.5,0.904
AF-A0A5K4EX03-F1-model_v4,30.47,0.904
AF-A0A3Q0KQ33-F1-model_v4,30.46,0.904
AF-A0A5K4FD75-F1-model_v4,30.45,0.904
AF-G4VEC8-F1-model_v4,30.44,0.904
AF-A0A5K4FEI3-F1-model_v4,30.43,0.904
AF-A0A5K4FC70-F1-model_v4,30.41,0.904
AF-G4V8L0-F1-model_v4,30.41,0.904
AF-A0A3Q0KLB1-F1-model_v4,30.39,0.904
AF-A0A5K4EHM1-F1-model_v4,30.39,0.904
AF-A0A3Q0KET6-F1-model_v4,30.38,0.904
AF-A0A5K4FAW8-F1-model_v4,30.38,0.904
AF-A0A5K4ELP5-F1-model_v4,30.37,0.903
AF-G4V788-F1-model_v4,30.37,0.903
AF-A0A3Q0KM76-F1-model_v4,30.28,0.903
AF-A0A5K4FFX5-F1-model_v4,30.27,0.903
AF-A0A3Q0KJ00-F1-model_v4,30.26,0.903
AF-A0A5K4FD90-F1-model_v4,30.26,0.903
AF-A0A3Q0KNR4-F1-model_v4,30.25,0.903
AF-A0A5K4ET58-F1-model_v4,30.23,0.902
AF-A0A5K4EWI8-F1-model_v4,30.23,0.902
AF-A0A5K4FAI6-F1-model_v4,30.22,0.902
AF-A0A3Q0KFM8-F1-model_v4,30.2,0.902
AF-A0A5K4F243-F1-model_v4,30.2,0.902
AF-A0A5K4F147-F1-model_v4,30.19,0.902
AF-A0A5K4EJX7-F1-model_v4,30.18,0.902
AF-G4V825-F1-model_v4,30.18,0.902
AF-A0A3Q0KPS2-F1-model_v4,30.09,0.901
AF-A0A5K4F9L9-F1-model_v4,30.08,0.901
AF-A0A5K4EHX3-F1-model_v4,30.07,0.901
AF-A0A3Q0KD27-F1-model_v4,30.06,0.901
AF-A0A3Q0KQ78-F1-model_v4,30.06,0.901
AF-A0A5K4EQ70-F1-model_v4,30.05,0.901
AF-A0A5K4ETA7-F1-model_v4,30.05,0.901
AF-A0A3Q0KTS9-F1-model_v4,30.04,0.901
AF-G4VHK8-F1-model_v4,30.03,0.901
AF-A0A3Q0KUD7-F1-model_v4,30.02,0.901
AF-A0A3Q0KCD8-F1-model_v4,30.01,0.901
AF-A0A3Q0KFG8-F1-model_v4,30.0,0.901
AF-A0A5K4F0G6-F1-model_v4,29.99,0.901
AF-A0A3Q0KC18-F1-model_v4,29.98,0.9
AF-G4LY81-F1-model_v4,29.98,0.9
AF-A0A3Q0KPS5-F1-model_v4,29.97,0.9
AF-A0A3Q0KRR5-F1-model_v4,29.97,0.9
AF-A0A5K4EQH2-F1-model_v4,29.96,0.9
AF-A0A5K4EQJ9-F1-model_v4,29.96,0.9
AF-A0A5K4EXN5-F1-model_v4,29.94,0.9
AF-A0A5K4F3E2-F1-model_v4,29.92,0.9
AF-A0A3Q0KMQ5-F1-model_v4,29.9,0.9
AF-G4VKQ6-F1-model_v4,29.9,0.9
AF-A0A5K4EYB2-F1-model_v4,29.89,0.9
AF-A0A3Q0KJZ0-F1-model_v4,29.88,0.9
AF-A0A3Q0KMA4-F1-model_v4,29.88,0.9
AF-A0A5K4FCN5-F1-model_v4,29.88,0.9
AF-A0A5K4F7Y5-F1-model_v4,29.86,0.9
AF-A0A5K4F8D2-F1-model_v4,29.85,0.9
AF-A0A3Q0KUF5-F1-model_v4,29.84,0.9
AF-A0A5K4ERU5-F1-model_v4,29.84,0.9
AF-A0A5K4FC50-F1-model_v4,29.84,0.9
AF-G4V8L2-F1-model_v4,29.84,0.899
AF-G4V9R9-F1-model_v4,29.84,0.9
AF-A0A3Q0KP94-F1-model_v4,29.83,0.899
AF-A0A3Q0KNA4-F1-model_v4,29.82,0.899
AF-A0A5K4ET24-F1-model_v4,29.81,0.899
AF-A0A5K4F3J1-F1-model_v4,29.81,0.899
AF-A0A5K4E9Z4-F1-model_v4,29.8,0.899
AF-C4Q5J8-F1-model_v4,29.8,0.899
AF-G4VIM8-F1-model_v4,29.8,0.899
AF-A0A3Q0KLL8-F1-model_v4,29.78,0.899
AF-A0A3Q0KM61-F1-model_v4,29.76,0.899
AF-A0A3Q0KTF5-F1-model_v4,29.75,0.899
AF-A0A5K4ET74-F1-model_v4,29.75,0.899
AF-A0A5K4FAR8-F1-model_v4,29.75,0.899
AF-A0A5K4EY36-F1-model_v4,29.74,0.899
AF-G4VD20-F1-model_v4,29.72,0.899
AF-A0A3Q0KJZ2-F1-model_v4,29.71,0.899
AF-A0A3Q0KCN4-F1-model_v4,29.69,0.898
AF-A0A3Q0KJG3-F1-model_v4,29.69,0.898
AF-A0A3Q0KEV1-F1-model_v4,29.68,0.898
AF-A0A5K4EB59-F1-model_v4,29.67,0.898
AF-A0A5K4EX11-F1-model_v4,29.61,0.898
AF-A0A5K4F4L8-F1-model_v4,29.61,0.898
AF-A0A5K4FB64-F1-model_v4,29.6,0.898
AF-A0A3Q0KRU6-F1-model_v4,29.59,0.898
AF-A0A5K4EKD8-F1-model_v4,29.58,0.897
AF-A0A3Q0KTB3-F1-model_v4,29.57,0.897
AF-A0A5K4F308-F1-model_v4,29.57,0.897
AF-A0A5K4F0H3-F1-model_v4,29.54,0.897
AF-A0A3Q0KHJ1-F1-model_v4,29.53,0.897
AF-A0A5K4FD40-F1-model_v4,29.53,0.897
AF-A0A3Q0KGC7-F1-model_v4,29.51,0.897
AF-A0A0U5DPH3-F1-model_v4,29.5,0.897
AF-A0A3Q0KFS0-F1-model_v4,29.5,0.897
AF-A0A5K4FBW5-F1-model_v4,29.5,0.897
AF-A0A5K4EQY2-F1-model_v4,29.49,0.897
AF-A0A5K4F9W0-F1-model_v4,29.49,0.897
AF-A0A3Q0KKY3-F1-model_v4,29.45,0.896
AF-A0A3Q0KHM4-F1-model_v4,29.42,0.896
AF-G4LW63-F1-model_v4,29.42,0.896
AF-A0A5K4FEU2-F1-model_v4,29.41,0.896
AF-A0A3Q0KUS0-F1-model_v4,29.4,0.896
AF-G4VCG5-F1-model_v4,29.4,0.896
AF-A0A3Q0KCR0-F1-model_v4,29.38,0.896
AF-A0A5K4ECA8-F1-model_v4,29.38,0.896
AF-A0A3Q0KMK2-F1-model_v4,29.37,0.896
AF-A0A3Q0KS61-F1-model_v4,29.37,0.896
AF-A0A5K4F0L8-F1-model_v4,29.37,0.896
AF-G4VAZ9-F1-model_v4,29.36,0.896
AF-A0A3Q0KLC3-F1-model_v4,29.35,0.895
AF-A0A3Q0KK76-F1-model_v4,29.34,0.895
AF-G4VK41-F1-model_v4,29.34,0.895
AF-A0A3Q0KQS2-F1-model_v4,29.32,0.895
AF-A0A3Q0KSP3-F1-model_v4,29.32,0.895
AF-A0A3Q0KNU5-F1-model_v4,29.3,0.895
AF-A0A5K4F777-F1-model_v4,29.3,0.895
AF-A0A3Q0KKV4-F1-model_v4,29.29,0.895
AF-G4LY02-F1-model_v4,29.29,0.895
AF-A0A3Q0KLJ1-F1-model_v4,29.28,0.895
AF-A0A3Q0KGB5-F1-model_v4,29.26,0.895
AF-A0A5K4EN42-F1-model_v4,29.25,0.895
AF-A0A5K4EDU1-F1-model_v4,29.21,0.895
AF-A0A3Q0KFC5-F1-model_v4,29.19,0.894
AF-A0A3Q0KLK8-F1-model_v4,29.14,0.894
AF-A0A3Q0KM25-F1-model_v4,29.14,0.894
AF-A0A5K4FBQ3-F1-model_v4,29.12,0.894
AF-A0A5K4F353-F1-model_v4,29.09,0.894
AF-A0A3Q0KGE2-F1-model_v4,29.07,0.894
AF-A0A3Q0KR46-F1-model_v4,29.04,0.894
AF-A0A5K4F2H9-F1-model_v4,29.04,0.894
AF-A0A3Q0KII8-F1-model_v4,29.02,0.894
AF-A0A3Q0KFG1-F1-model_v4,29.0,0.893
AF-A0A5K4F484-F1-model_v4,29.0,0.893
AF-A0A3Q0KTA3-F1-model_v4,28.99,0.893
AF-A0A5K4ELS3-F1-model_v4,28.99,0.893
AF-A0A5K4EW05-F1-model_v4,28.99,0.893
AF-P25824-F1-model_v4,28.99,0.893
AF-A0A3Q0KH52-F1-model_v4,28.98,0.893
AF-A0A5K4E9V0-F1-model_v4,28.98,0.893
AF-A0A3Q0KLC0-F1-model_v4,28.97,0.893
AF-A0A3Q0KVF0-F1-model_v4,28.97,0.893
AF-A0A3Q0KL40-F1-model_v4,28.96,0.893
AF-A0A3Q0KLH3-F1-model_v4,28.95,0.893
AF-A0A5K4ETD4-F1-model_v4,28.93,0.893
AF-G4VFV5-F1-model_v4,28.91,0.893
AF-A0A3Q0KLS7-F1-model_v4,28.9,0.893
AF-A0A5K4EWE8-F1-model_v4,28.9,0.893
AF-A0A3Q0KMR2-F1-model_v4,28.86,0.892
AF-A0A5K4EJN9-F1-model_v4,28.84,0.892
AF-A0A5K4F835-F1-model_v4,28.84,0.892
AF-A0A5K4F7Z6-F1-model_v4,28.83,0.892
AF-A0A5K4EL62-F1-model_v4,28.82,0.892
AF-A0A3Q0KFM7-F1-model_v4,28.8,0.892
AF-A0A5K4F3V6-F1-model_v4,28.78,0.892
AF-A0A5K4EJK4-F1-model_v4,28.76,0.891
AF-A0A3Q0KGC1-F1-model_v4,28.75,0.891
AF-A0A5K4F2W5-F1-model_v4,28.74,0.891
AF-A0A5K4F956-F1-model_v4,28.72,0.891
AF-A0A3Q0KU31-F1-model_v4,28.71,0.891
AF-A0A3Q0KT71-F1-model_v4,28.67,0.891
AF-G4VRU9-F1-model_v4,28.66,0.891
AF-A0A3Q0KPB6-F1-model_v4,28.65,0.891
AF-A0A5K4ELW8-F1-model_v4,28.65,0.891
AF-A0A3Q0KHA0-F1-model_v4,28.63,0.891
AF-A0A3Q0KJC8-F1-model_v4,28.62,0.89
AF-A0A3Q0KKP9-F1-model_v4,28.61,0.89
AF-A0A3Q0KTF4-F1-model_v4,28.61,0.89
AF-A0A3Q0KD34-F1-model_v4,28.6,0.89
AF-A0A5K4F099-F1-model_v4,28.6,0.89
AF-G4LWW8-F1-model_v4,28.6,0.89
AF-A0A5K4F0B3-F1-model_v4,28.59,0.89
AF-A0A5K4F1X8-F1-model_v4,28.59,0.89
AF-P46508-F1-model_v4,28.59,0.89
AF-G4VTW8-F1-model_v4,28.58,0.89
AF-A0A5K4E825-F1-model_v4,28.57,0.89
AF-G4LZ71-F1-model_v4,28.57,0.89
AF-A0A5K4ED00-F1-model_v4,28.56,0.89
AF-A0A3Q0KBF9-F1-model_v4,28.55,0.89
AF-A0A3Q0KN19-F1-model_v4,28.55,0.89
AF-A0A5K4F2T2-F1-model_v4,28.55,0.89
AF-A0A3Q0KIM9-F1-model_v4,28.54,0.89
AF-A0A3Q0KMZ6-F1-model_v4,28.54,0.89
AF-A0A5K4ELI3-F1-model_v4,28.54,0.89
AF-A0A5K4FD22-F1-model_v4,28.53,0.89
AF-G4V8T3-F1-model_v4,28.52,0.89
AF-A0A3Q0KMD7-F1-model_v4,28.49,0.889
AF-A0A5K4F103-F1-model_v4,28.49,0.889
AF-G4VIN5-F1-model_v4,28.46,0.889
AF-A0A3Q0KRC6-F1-model_v4,28.42,0.889
AF-A0A5K4EQ59-F1-model_v4,28.42,0.889
AF-A0A5K4EWJ7-F1-model_v4,28.42,0.889
AF-A0A5K4F3H5-F1-model_v4,28.42,0.889
AF-A0A5K4F8P8-F1-model_v4,28.41,0.889
AF-A0A5K4FBT3-F1-model_v4,28.41,0.889
AF-G4VD86-F1-model_v4,28.41,0.889
AF-A0A5K4FCM6-F1-model_v4,28.39,0.889
AF-A0A3Q0KPB2-F1-model_v4,28.37,0.889
AF-A0A3Q0KPV4-F1-model_v4,28.33,0.889
AF-A0A5K4F1B0-F1-model_v4,28.33,0.889
AF-G4VML1-F1-model_v4,28.33,0.889
AF-A0A5K4F337-F1-model_v4,28.31,0.888
AF-A0A5K4F4D8-F1-model_v4,28.3,0.888
AF-A0A3Q0KUE8-F1-model_v4,28.29,0.888
AF-A0A3Q0KUU2-F1-model_v4,28.29,0.888
AF-G4LW67-F1-model_v4,28.27,0.888
AF-G4VP31-F1-model_v4,28.26,0.888
AF-A0A5K4ESL0-F1-model_v4,28.25,0.888
AF-A0A5K4FGV6-F1-model_v4,28.24,0.888
AF-A0A5K4F3B9-F1-model_v4,28.23,0.888
AF-G4VBJ7-F1-model_v4,28.23,0.888
AF-A0A3Q0KM03-F1-model_v4,28.22,0.888
AF-A0A5K4F6B1-F1-model_v4,28.22,0.888
AF-A0A3Q0KIP8-F1-model_v4,28.21,0.888
AF-A0A5K4F3C7-F1-model_v4,28.2,0.888
AF-A0A5K4FEH4-F1-model_v4,28.18,0.888
AF-A0A5K4EZN6-F1-model_v4,28.17,0.888
AF-A0A3Q0KC53-F1-model_v4,28.16,0.887
AF-A0A5K4EF84-F1-model_v4,28.16,0.887
AF-G4VJR3-F1-model_v4,28.16,0.887
AF-A0A3Q0KT82-F1-model_v4,28.15,0.887
AF-G4LYF5-F1-model_v4,28.14,0.887
AF-A0A3Q0KDZ2-F1-model_v4,28.13,0.887
AF-A0A3Q0KN37-F1-model_v4,28.13,0.887
AF-A0A5K4EJZ3-F1-model_v4,28.13,0.887
AF-A0A5K4F2D8-F1-model_v4,28.13,0.887
AF-A0A5K4F4Z6-F1-model_v4,28.13,0.887
AF-A0A5K4F110-F1-model_v4,28.11,0.887
AF-A0A5K4FCR8-F1-model_v4,28.11,0.887
AF-A0A5K4EEF5-F1-model_v4,28.1,0.887
AF-A0A5K4FAS1-F1-model_v4,28.08,0.887
AF-A0A5K4EBL2-F1-model_v4,28.04,0.887
AF-A0A3Q0KKI8-F1-model_v4,28.03,0.887
AF-A0A5K4EBV3-F1-model_v4,28.03,0.887
AF-A0A5K4FFF7-F1-model_v4,28.03,0.887
AF-A0A5K4EKW7-F1-model_v4,28.02,0.886
AF-A0A5K4F2M5-F1-model_v4,28.02,0.886
AF-A0A5K4FGR0-F1-model_v4,27.99,0.886
AF-A0A3Q0KBY2-F1-model_v4,27.96,0.886
AF-A0A5K4EWI2-F1-model_v4,27.96,0.886
AF-A0A5K4F4P8-F1-model_v4,27.96,0.886
AF-G4VTR5-F1-model_v4,27.96,0.886
AF-A0A5K4F0A3-F1-model_v4,27.92,0.886
AF-A0A5K4F1H8-F1-model_v4,27.92,0.886
AF-A0A5K4EQH7-F1-model_v4,27.91,0.886
AF-A0A3Q0KVF4-F1-model_v4,27.87,0.885
AF-A0A5K4ERU8-F1-model_v4,27.87,0.885
AF-A0A5K4EJV3-F1-model_v4,27.85,0.885
AF-A0A5K4EXJ6-F1-model_v4,27.84,0.885
AF-A0A5K4FA18-F1-model_v4,27.84,0.885
AF-A0A3Q0KT03-F1-model_v4,27.83,0.885
AF-A0A3Q0KQP7-F1-model_v4,27.81,0.885
AF-A0A5K4EDV6-F1-model_v4,27.8,0.885
AF-A0A5K4ERH1-F1-model_v4,27.78,0.884
AF-A0A3Q0KPI4-F1-model_v4,27.77,0.884
AF-A0A5K4ETJ9-F1-model_v4,27.77,0.884
AF-A0A5K4EZN8-F1-model_v4,27.77,0.884
AF-A0A5K4F6J8-F1-model_v4,27.74,0.884
AF-A0A3Q0KBP6-F1-model_v4,27.73,0.884
AF-A0A3Q0KD40-F1-model_v4,27.73,0.884
AF-A0A3Q0KQ46-F1-model_v4,27.73,0.884
AF-A0A5K4E9F4-F1-model_v4,27.72,0.884
AF-A0A3Q0KKE3-F1-model_v4,27.69,0.884
AF-A0A3Q0KNS7-F1-model_v4,27.69,0.884
AF-G4VS40-F1-model_v4,27.67,0.884
AF-A0A3Q0KUQ9-F1-model_v4,27.65,0.883
AF-A0A3Q0KFJ7-F1-model_v4,27.64,0.883
AF-A0A3Q0KKX4-F1-model_v4,27.63,0.883
AF-A0A5K4F6K9-F1-model_v4,27.63,0.883
AF-A0A3Q0KT25-F1-model_v4,27.61,0.883
AF-G4VMR7-F1-model_v4,27.61,0.883
AF-A0A3Q0KF85-F1-model_v4,27.59,0.883
AF-A0A5K4F8X8-F1-model_v4,27.59,0.883
AF-A0A5K4FAE6-F1-model_v4,27.59,0.883
AF-A0A3Q0KGG0-F1-model_v4,27.58,0.883
AF-A0A3Q0KL89-F1-model_v4,27.57,0.883
AF-A0A5K4EXI7-F1-model_v4,27.56,0.883
AF-A0A5K4EZ72-F1-model_v4,27.56,0.883
AF-A0A3Q0KUH5-F1-model_v4,27.55,0.883
AF-A0A5K4FAJ2-F1-model_v4,27.55,0.883
AF-A0A3Q0KN58-F1-model_v4,27.53,0.883
AF-A0A5K4EI77-F1-model_v4,27.53,0.883
AF-A0A3Q0KPE8-F1-model_v4,27.52,0.882
AF-A0A5K4F7V0-F1-model_v4,27.52,0.883
AF-C4QP69-F1-model_v4,27.52,0.882
AF-A0A3Q0KR15-F1-model_v4,27.5,0.882
AF-A0A5K4EZK3-F1-model_v4,27.5,0.882
AF-A0A5K4F407-F1-model_v4,27.5,0.882
AF-A0A5K4FB81-F1-model_v4,27.5,0.882
AF-A0A5K4ESE9-F1-model_v4,27.49,0.882
AF-A0A3Q0KG66-F1-model_v4,27.48,0.882
AF-G4V9B2-F1-model_v4,27.48,0.882
AF-A0A5K4EYY7-F1-model_v4,27.47,0.882
AF-A0A5K4F051-F1-model_v4,27.47,0.882
AF-A0A3Q0KS15-F1-model_v4,27.46,0.882
AF-A0A5K4F9V3-F1-model_v4,27.46,0.882
AF-A0A3Q0KDL4-F1-model_v4,27.45,0.882
AF-A0A3Q0KVJ7-F1-model_v4,27.42,0.882
AF-A0A5K4FAC0-F1-model_v4,27.42,0.882
AF-A0A5K4F9S1-F1-model_v4,27.37,0.882
AF-A0A3Q0KIA2-F1-model_v4,27.34,0.881
AF-A0A5K4F5I5-F1-model_v4,27.34,0.881
AF-G4LZE6-F1-model_v4,27.34,0.881
AF-A0A5K4F2A1-F1-model_v4,27.33,0.881
AF-A0A3Q0KS88-F1-model_v4,27.32,0.881
AF-A0A5K4EW81-F1-model_v4,27.32,0.881
AF-A0A5K4EIP9-F1-model_v4,27.31,0.881
AF-A0A5K4F028-F1-model_v4,27.3,0.881
AF-A0A3Q0KP77-F1-model_v4,27.29,0.881
AF-A0A3Q0KED0-F1-model_v4,27.28,0.881
AF-A0A5K4F3L4-F1-model_v4,27.26,0.88
AF-A0A3Q0KKX2-F1-model_v4,27.25,0.88
AF-A0A3Q0KLA5-F1-model_v4,27.25,0.88
AF-A0A5K4F0J2-F1-model_v4,27.24,0.88
AF-A0A3Q0KNM8-F1-model_v4,27.23,0.88
AF-A0A5K4EX52-F1-model_v4,27.21,0.88
AF-A0A3Q0KJ30-F1-model_v4,27.2,0.88
AF-A0A5K4F1S8-F1-model_v4,27.2,0.88
AF-A0A5K4F5E8-F1-model_v4,27.2,0.88
AF-Q7YTA4-F1-model_v4,27.19,0.88
AF-A0A5K4F6A9-F1-model_v4,27.18,0.879
AF-A0A3Q0KK00-F1-model_v4,27.15,0.879
AF-A0A5K4ENY9-F1-model_v4,27.14,0.879
AF-A0A5K4EQ66-F1-model_v4,27.14,0.879
AF-G4VIE4-F1-model_v4,27.14,0.879
AF-A0A3Q0KND8-F1-model_v4,27.13,0.879
AF-Q5UES2-F1-model_v4,27.13,0.879
AF-A0A3Q0KF13-F1-model_v4,27.11,0.879
AF-A0A5K4F2N2-F1-model_v4,27.11,0.879
AF-A0A5K4F9Q7-F1-model_v4,27.11,0.879
AF-A0A5K4FFR0-F1-model_v4,27.11,0.879
AF-A0A5K4F2Q8-F1-model_v4,27.09,0.879
AF-G4V7Q8-F1-model_v4,27.09,0.879
AF-A0A5K4ET29-F1-model_v4,27.08,0.878
AF-A0A3Q0KG51-F1-model_v4,27.07,0.878
AF-A0A3Q0KS33-F1-model_v4,27.06,0.878
AF-A0A3Q0KQK4-F1-model_v4,27.02,0.878
AF-A0A3Q0KKB3-F1-model_v4,27.01,0.878
AF-A0A3Q0KM65-F1-model_v4,27.01,0.878
AF-A0A5K4F562-F1-model_v4,27.0,0.878
AF-A0A3Q0KDC5-F1-model_v4,26.99,0.878
AF-A0A3Q0KL27-F1-model_v4,26.99,0.878
AF-A0A3Q0KLT9-F1-model_v4,26.99,0.878
AF-A0A5K4ETU8-F1-model_v4,26.99,0.878
AF-A0A3Q0KKC2-F1-model_v4,26.98,0.878
AF-A0A3Q0KMY1-F1-model_v4,26.98,0.878
AF-G4VHK6-F1-model_v4,26.97,0.878
AF-G4VQ97-F1-model_v4,26.97,0.878
AF-A0A3Q0KG63-F1-model_v4,26.96,0.877
AF-A0A5K4ETT0-F1-model_v4,26.95,0.877
AF-A0A3Q0KFU7-F1-model_v4,26.93,0.877
AF-A0A5K4F0C4-F1-model_v4,26.93,0.877
AF-A0A3Q0KH18-F1-model_v4,26.92,0.877
AF-A0A3Q0KTS4-F1-model_v4,26.92,0.877
AF-A0A5K4F2T8-F1-model_v4,26.9,0.877
AF-A0A5K4EK88-F1-model_v4,26.89,0.877
AF-A0A5K4FC40-F1-model_v4,26.89,0.877
AF-A0A3Q0KQ92-F1-model_v4,26.88,0.877
AF-G4LV80-F1-model_v4,26.88,0.877
AF-A0A5K4ER93-F1-model_v4,26.85,0.877
AF-A0A3Q0KIA7-F1-model_v4,26.84,0.877
AF-G4V8G7-F1-model_v4,26.84,0.877
AF-A0A5K4FBR2-F1-model_v4,26.83,0.877
AF-A0A3Q0KTX1-F1-model_v4,26.82,0.877
AF-A0A3Q0KQZ2-F1-model_v4,26.81,0.876
AF-A0A5K4FBY7-F1-model_v4,26.81,0.876
AF-A0A5K4FCH9-F1-model_v4,26.81,0.876
AF-A0A5K4F556-F1-model_v4,26.8,0.876
AF-A0A3Q0KQT2-F1-model_v4,26.78,0.876
AF-A0A3Q0KVF3-F1-model_v4,26.78,0.876
AF-A0A3Q0KMF4-F1-model_v4,26.77,0.876
AF-G4LYZ1-F1-model_v4,26.77,0.876
AF-A0A5K4ELK1-F1-model_v4,26.72,0.876
AF-A0A3Q0KG97-F1-model_v4,26.71,0.876
AF-A0A5K4F281-F1-model_v4,26.7,0.876
AF-A0A3Q0KD46-F1-model_v4,26.68,0.876
AF-A0A3Q0KL97-F1-model_v4,26.68,0.876
AF-A0A3Q0KGB2-F1-model_v4,26.67,0.876
AF-A0A3Q0KT70-F1-model_v4,26.66,0.875
AF-G4VEJ5-F1-model_v4,26.64,0.875
AF-G4LYM8-F1-model_v4,26.62,0.875
AF-A0A5K4FBG8-F1-model_v4,26.61,0.875
AF-C4QIC0-F1-model_v4,26.61,0.875
AF-Q2VJ10-F1-model_v4,26.6,0.875
AF-A0A5K4FB93-F1-model_v4,26.58,0.875
AF-G4VDI2-F1-model_v4,26.58,0.875
AF-A0A5K4FFH7-F1-model_v4,26.57,0.875
AF-A0A5K4ESS7-F1-model_v4,26.55,0.874
AF-A0A5K4F9R3-F1-model_v4,26.55,0.874
AF-G4VDQ3-F1-model_v4,26.53,0.874
AF-A0A3Q0KN18-F1-model_v4,26.52,0.874
AF-A0A5K4F475-F1-model_v4,26.52,0.874
AF-A0A3Q0KM75-F1-model_v4,26.51,0.874
AF-A0A5K4EQV5-F1-model_v4,26.51,0.874
AF-G4VTA5-F1-model_v4,26.5,0.874
AF-A0A3Q0KN94-F1-model_v4,26.48,0.874
AF-A0A5K4ERI6-F1-model_v4,26.48,0.874
AF-G4V764-F1-model_v4,26.48,0.874
AF-A0A3Q0KPF3-F1-model_v4,26.47,0.874
AF-A0A5K4F7S9-F1-model_v4,26.47,0.874
AF-A0A3Q0KRC4-F1-model_v4,26.43,0.873
AF-A0A5K4F272-F1-model_v4,26.43,0.873
AF-A0A3Q0KGP4-F1-model_v4,26.42,0.873
AF-A0A5K4F6L7-F1-model_v4,26.42,0.873
AF-A0A5K4FAL9-F1-model_v4,26.42,0.873
AF-A0A3Q0KL50-F1-model_v4,26.41,0.873
AF-A0A5K4FBW1-F1-model_v4,26.41,0.873
AF-G4VEN1-F1-model_v4,26.41,0.873
AF-A0A5K4EHI6-F1-model_v4,26.39,0.873
